Column1;listing.city;listing.neighborhood;p3_summary_title;description_locale;listing.extra_host_languages;listing.star_rating
221;barcelona;Ciutat Vella;PenthouseSuite with Private Terrace;en;['en', 'fr', 'it', 'nl', 'ja'];45
222;barcelona;Eixample;Sagrada Oasis • Homecelona Apartments;en;['de', 'en', 'fr', 'it', 'nl'];50
223;barcelona;Vila de Gràcia;SUNNY STUDIO WITH  SPA & TERRACE;en;['en'];50
224;barcelona;Dreta de l'Eixample;Beautiful apartment by Pl Catalunya;en;['en'];45
225;barcelona;Dreta de l'Eixample;Stylish apartment B near Plaza cat;en;[];50
226;barcelona;Vila de Gràcia;Disfruta del sol, las vistas y el descanso en este apartamento con terraza.;es;['en', 'pt'];50
227;barcelona;Ciutat Vella;Fully equipped studio with kitchenette & bathroom;en;['en', 'fr', 'it', 'pt'];45
228;barcelona;El Poble-sec;Redeveloped Historic Apartment with Balcony;en;['en', 'fr'];50
229;barcelona;Sant Martí;Sunny Loft in Barcelona 5' walk to the beach;en;['en', 'fr'];50
230;barcelona;Dreta de l'Eixample;QUIET GORGEOUS  STUDIO 75 sqm in the  CITY CENTER;en;['en', 'fr'];50
231;barcelona;Eixample;NICE PENTHOUSE IN SAGRADA FAMILIA;en;['en', 'fr'];50
232;barcelona;Eixample;Redesigned Apartment with Exclusive Rooftop Terrace;en;['en', 'fr', 'no'];50
233;barcelona;Sant Martí;Mediterranean-Chic Apartment Steps from the Beach;es;['en'];50
234;barcelona;Dreta de l'Eixample;Cosy 1 bed with terrace;en;['en'];45
235;barcelona;Ciutat Vella;AMAZING PENTHOUSE RAMBLAS! DAILY CLEANING!;en;['en', 'fr', 'no'];45
236;barcelona;Sants-Montjuïc;Attic with terrace;en;['en', 'fr', 'it'];50
237;barcelona;Ciutat Vella;STUNNING APARTMENT IN GOTHIC;en;['en'];45
238;barcelona;Eixample;Sagrada Familia Apartment;en;['en'];50
239;barcelona;El Poblenou;Near the beach, pool, AC, 2 bedrooms, 2 bathrooms;en;['en', 'fr', 'ru'];45
240;barcelona;Eixample;Elegant Apartment in City Center;es;['en', 'pt'];45
241;barcelona;Eixample;Have Breakfast on the Balcony of a Chic City Home;en;['en'];50
242;barcelona;La Sagrada Família;Apartment with terrace in Barcelona;en;['en', 'fr'];50
243;barcelona;El Poble-sec;Apartamento único en Poble Sec!;en;['en', 'it'];50
244;barcelona;Dreta de l'Eixample;Amazing Apartment Plaza Catalunya;en;['de', 'en', 'fr', 'ru'];50
245;barcelona;La Nova Esquerra de l'Eixample;Apartamento urbano, tranquilo y chic cerca del Paseo de Gracia;es;['en'];50
